ExperimentName;Subject;Session;calibrage.DEVICE[Session];Chronos.BoxInfo;Clock.Information;DataFile.Basename;Display.RefreshRate;ExperimentVersion;Group;Hello.DEVICE;RandomSeed;RuntimeCapabilities;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;StudioVersion;Block;calibrage.DEVICE[Block];EndTraining.DEVICE;Generalbloc;Generalbloc.Cycle;Generalbloc.Sample;Procedure[Block];Running[Block];TextDisplay1.DEVICE;TextDisplay2.DEVICE;TextTraining.DEVICE;time;VVInst.DEVICE[Block];Trial;correct;image;listVVTrial;listVVTrial.Cycle;listVVTrial.Sample;offset;Procedure[Trial];Running[Trial];SpatialTaskTraining;SpatialTaskTraining.Cycle;SpatialTaskTraining.Sample;VVInst.DEVICE[Trial];vvstimnoresp.ACC;vvstimnoresp.CRESP;vvstimnoresp.DurationError;vvstimnoresp.OnsetDelay;vvstimnoresp.OnsetTime;vvstimnoresp.OnsetToOnsetTime;vvstimnoresp.RESP;vvstimnoresp.RT;vvstimnoresp.RTTime;vvstimresp1.ACC;vvstimresp1.CRESP;vvstimresp1.DEVICE;vvstimresp1.DurationError;vvstimresp1.OnsetDelay;vvstimresp1.OnsetTime;vvstimresp1.OnsetToOnsetTime;vvstimresp1.RESP;vvstimresp1.RT;vvstimresp1.RTTime;vvstimresp2.ACC;vvstimresp2.CRESP;vvstimresp2.DEVICE;vvstimresp2.DurationError;vvstimresp2.OnsetDelay;vvstimresp2.OnsetTime;vvstimresp2.OnsetToOnsetTime;vvstimresp2.RESP;vvstimresp2.RT;vvstimresp2.RTTime;SubTrial;LISTVVRANDOM1;LISTVVRANDOM1.Cycle;LISTVVRANDOM1.Sample;LISTVVRANDOM2;Procedure[SubTrial];Running[SubTrial];VVR;VVRANDOM;VVRANDOMRESP.ACC;VVRANDOMRESP.CRESP;VVRANDOMRESP.DEVICE;VVRANDOMRESP.DurationError;VVRANDOMRESP.OnsetDelay;VVRANDOMRESP.OnsetTime;VVRANDOMRESP.OnsetToOnsetTime;VVRANDOMRESP.RESP;VVRANDOMRESP.RT;VVRANDOMRESP.RTTime
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;blocVVstimTraining;LISTVVRANDOM1;VV_290421/875.png;VV_290421/880.png;0;;Chronos;-999999;0;424406;0;1;889;425295
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;2;3;blocVVstimTraining;LISTVVRANDOM1;VV_290421/885.png;VV_290421/890.png;0;;Chronos;-999999;-1;427321;0;5;7219;434540
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;3;5;blocVVstimTraining;LISTVVRANDOM1;VV_290421/895.png;VV_290421/900.png;0;;Chronos;-999999;0;436568;0;5;557;437125
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;4;7;blocVVstimTraining;LISTVVRANDOM1;VV_290421/905.png;VV_290421/910.png;0;;Chronos;-999999;0;439150;0;5;159;439309
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;5;9;blocVVstimTraining;LISTVVRANDOM1;VV_290421/915.png;VV_290421/920.png;0;;Chronos;-999999;0;441333;0;5;344;441677
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;1;6;11;blocVVstimTraining;LISTVVRANDOM1;VV_290421/925.png;VV_290421/875.png;0;;Chronos;-999999;0;443699;0;1;340;444039
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;1;7;2;blocVVstimTraining;LISTVVRANDOM1;VV_290421/880.png;VV_290421/885.png;0;;Chronos;-999999;-1;446064;0;1;412;446476
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;1;8;4;blocVVstimTraining;LISTVVRANDOM1;VV_290421/890.png;VV_290421/895.png;0;;Chronos;-999999;0;448497;0;1;465;448962
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;1;9;6;blocVVstimTraining;LISTVVRANDOM1;VV_290421/900.png;VV_290421/905.png;0;;Chronos;-999999;0;450979;0;5;467;451446
EXP2.2_290421;1019;1;Chronos;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435576</Frequency><Timestamp dt:dt=""r8"">11760904140</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-05-07T11:48:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-1019-1;60.024;1.0.0.376;1;Chronos;-1123555734;Full;3.0.3.80;3.0.3.80;05/07/2021;07/05/2021 11:48;13:48:37;3.0.3.82;1;Chronos;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;1;10;8;blocVVstimTraining;LISTVVRANDOM1;VV_290421/910.png;VV_290421/915.png;0;;Chronos;-999999;0;453462;0;5;121;453583
